RUT,Nombre,Apellido P.,Apellido M.,Sexo,Edad,Ciudad,Promedio
21.344.556-7,Martina,Lagos,Silva,F,18.0,Puerto Montt,6.5
20.988.123-k,Benjamín,Oyarzún,Ruiz,M,19.0,Osorno,5.8
22.112.443-4,Sofía,Cárdenas,Mansilla,F,17.0,Castro,6.2
21.554.332-1,Mateo,Vargas,González,,18.0,Puerto Varas,4.5
20.776.554-9,Florencia,Muñoz,Soto,F,20.0,Ancud,5.9
21.221.998-0,Lucas,Paredes,Vidal,M,18.0,Frutillar,6.8
22.443.112-5,Isabella,Barrientos,Díaz,F,17.0,Quellón,5.4
20.332.887-6,Joaquín,Aguilar,Torres,M,21.0,Llanquihue,6.1
21.665.443-2,Agustina,Espinoza,Mora,F,,Calbuco,4.9
21.332.776-k,Catalina,Rivas,Salinas,F,18.0,Castro,6.1
22.554.110-3,Valentina,Ulloa,Rojas,F,17.0,Chonchi,6.7
21.887.223-4,Matías,Gómez,Ibáñez,M,18.0,Puerto Montt,5.5
20.443.998-1,Elena,Guerrero,Castro,F,20.0,Osorno,6.0
21.990.554-7,Tomás,Almonacid,Bahamonde,M,18.0,Castro,4.2
22.221.334-0,Josefa,Villarroel,Núñez,F,17.0,Puerto Varas,6.9
20.665.112-8,Diego,Jara,,M,19.0,Ancud,5.7
21.443.887-5,Emilia,Gallardo,Pardo,F,18.0,Frutillar,6.3
20.887.443-2,Maximiliano,Cárcamo,Ojeda,M,20.0,Quellón,5.1
22.332.110-k,Isidora,Bórquez,Delgado,,17.0,Llanquihue,6.6
21.112.665-4,Felipe,Arriagada,Saavedra,M,18.0,Calbuco,4.8
20.554.332-9,Antonella,Saldivia,Valenzuela,F,19.0,Purranque,5.6
21.776.998-1,Samuel,Carrasco,Godoy,M,18.0,Chonchi,6.4
22.665.221-7,Fernanda,Henríquez,Méndez,F,17.0,Puerto Montt,5.3
20.221.554-3,Francisco,Orellana,Tapia,M,21.0,Osorno,5.9
22.112.887-4,Maite,Figueroa,Maturana,F,17.0,Ancud,6.8
21.554.665-1,Benjamín,Leiva,Donoso,M,18.0,Frutillar,5.0
20.776.332-9,Constanza,Mena,Palma,F,20.0,Quellón,5.2
21.221.443-0,Vicente,Pino,Ortiz,M,18.0,Llanquihue,5.4
21.002.334-5,Matías,Schwaner,Werner,M,19.0,Puerto Varas,6.1
20.881.442-k,Javiera,Cárcamo,Mansilla,F,20.0,Castro,5.4
22.109.887-3,Rodrigo,Paredes,Soto,M,17.0,Osorno,4.9
21.554.221-8,Constanza,Vera,Ruiz,F,18.0,Puerto Montt,6.7
20.332.112-9,Sebastián,Aguilar,Bahamonde,M,21.0,Ancud,5.2
21.667.443-0,Antonia,González,Ojeda,F,18.0,Quellón,5.8
22.445.667-1,Ignacio,Martínez,Silva,M,17.0,Frutillar,6.3
20.112.998-k,Fernanda,Oyarzo,Vidal,F,19.0,Calbuco,4.5
22.334.556-2,Valentina,Rojas,Espinoza,F,17.0,Purranque,6.0
21.112.443-7,Benjamín,Morales,Pardo,M,18.0,Chonchi,5.6
20.556.778-9,Isidora,Muñoz,Lagos,F,20.0,Fresia,6.9
22.667.889-5,Maite,Vargas,Núñez,,17.0,San Pablo,6.2
21.223.445-0,Diego,Fuentes,Palma,M,19.0,Cochamó,6.35
20.998.112-3,Emilia,Santana,Reyes,F,,Puerto Octay,6.5
22.110.554-1,Maximiliano,Bravo,Donoso,M,17.0,Los Muermos,4.8
21.556.998-4,Sofía,Maldonado,Jara,F,18.0,Maullín,5.3
20.778.332-6,Joaquín,Carrasco,Guerra,,20.0,Hualaihué,6.6
21.221.776-k,Catalina,Bórquez,Delgado,F,18.0,Dalcahue,5.9
22.443.887-2,Felipe,Arriagada,Salinas,M,17.0,Curaco de Vélez,4.1
20.334.110-8,Antonella,Saldivia,Maturana,F,,Quinchao,5.5
21.669.223-5,Samuel,Henríquez,Godoy,M,18.0,Puqueldón,6.4
22.556.112-7,Martina,Rivas,Farías,F,17.0,Queilén,5.550000000000001
21.887.443-1,Vicente,Figueroa,Ortiz,M,18.0,San Juan de la Costa,4.7
22.332.990-k,Josefa,Leiva,Tapia,F,17.0,Río Negro,5.2
21.114.665-4,Francisco,Mena,Loyola,M,19.0,Puerto Montt,6.1
20.558.112-9,Elena,Pino,Villalobos,F,20.0,Osorno,5.0
22.669.332-8,Claudia,Cáceres,Bustos,F,17.0,Puerto Varas,6.3
